t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,vision_has_good,vision_has_bad,probe_state,probe_source_direction,probe_turn_direction,enemy_slow,enemy_confirmed,probe_vision_count,probe_vision_verdict,shovel_state,shovel_active,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
2.123,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,995.0,1059.0,970.0,456.0,1025.0
2.143,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,739.0,990.0,1055.0,965.0,734.0,1028.0
2.163,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,742.0,994.0,1059.0,969.0,390.0,1025.0
2.184,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,997.0,1062.0,972.0,357.0,1040.0
2.204,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,1,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,995.0,1060.0,970.0,359.0,1026.0
2.224,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,746.0,1002.0,1065.0,977.0,229.0,1024.0
2.244,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,746.0,1002.0,1065.0,977.0,229.0,1024.0
2.264,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,997.0,1061.0,971.0,224.0,1025.0
2.284,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,996.0,1061.0,971.0,359.0,1024.0
2.305,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,743.0,997.0,1061.0,971.0,391.0,1026.0
2.325,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,749.0,1004.0,1067.0,979.0,359.0,1026.0
2.345,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,2,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,742.0,996.0,1060.0,969.0,358.0,1024.0
2.365,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,3,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,741.0,994.0,1058.0,968.0,358.0,1025.0
2.385,proximity_probe,probe_idle,IDLE,没有近物候选,0,0,1,1,3,target,1,0,IDLE,,,0,0,0,idle,IDLE,0,0,0,0,0,0,0,744.0,999.0,1062.0,974.0,391.0,1026.0
