t,left,right,diff,valid
9.513,149.0,21.0,128.0,1
9.533,134.0,20.0,114.0,1
9.553,150.0,20.0,130.0,1
9.573,153.0,21.0,132.0,1
9.593,150.0,21.0,129.0,1
9.613,167.0,21.0,146.0,1
9.633,216.0,21.0,195.0,1
9.653,134.0,20.0,114.0,1
9.674,329.0,20.0,309.0,1
9.694,166.0,21.0,145.0,1
9.714,19.0,20.0,-1.0,1
9.734,183.0,21.0,162.0,1
9.754,17.0,21.0,-4.0,1
9.774,149.0,21.0,128.0,1
9.794,167.0,21.0,146.0,1
9.814,411.0,20.0,391.0,1
9.834,199.0,21.0,178.0,1
9.855,192.0,21.0,171.0,1
9.875,149.0,21.0,128.0,1
9.895,16.0,30.0,-14.0,1
9.915,168.0,21.0,147.0,1
9.935,314.0,21.0,293.0,1
9.955,242.0,25.0,217.0,1
9.975,217.0,20.0,197.0,1
9.995,168.0,20.0,148.0,1
10.015,200.0,21.0,179.0,1
10.036,281.0,20.0,261.0,1
10.056,298.0,21.0,277.0,1
10.076,250.0,20.0,230.0,1
10.096,249.0,21.0,228.0,1
10.116,72.0,21.0,51.0,1
10.136,233.0,22.0,211.0,1
10.156,215.0,20.0,195.0,1
10.176,378.0,20.0,358.0,1
10.196,279.0,22.0,257.0,1
10.216,613.0,21.0,592.0,1
10.236,395.0,21.0,374.0,1
10.257,101.0,22.0,79.0,1
10.277,248.0,20.0,228.0,1
10.297,51.0,35.0,16.0,1
10.317,298.0,128.0,170.0,1
10.337,280.0,21.0,259.0,1
10.357,542.0,21.0,521.0,1
10.377,263.0,20.0,243.0,1
10.397,248.0,20.0,228.0,1
10.417,312.0,20.0,292.0,1
10.437,264.0,20.0,244.0,1
10.458,296.0,21.0,275.0,1
10.478,249.0,21.0,228.0,1
10.498,264.0,20.0,244.0,1
10.518,266.0,21.0,245.0,1
10.538,265.0,25.0,240.0,1
10.558,318.0,20.0,298.0,1
10.578,528.0,21.0,507.0,1
10.598,476.0,20.0,456.0,1
10.618,282.0,21.0,261.0,1
10.638,264.0,21.0,243.0,1
10.658,184.0,239.0,-55.0,1
10.678,329.0,20.0,309.0,1
10.699,313.0,20.0,293.0,1
10.719,592.0,21.0,571.0,1
10.739,280.0,21.0,259.0,1
10.759,648.0,20.0,628.0,1
10.779,362.0,20.0,342.0,1
10.799,249.0,22.0,227.0,1
10.819,330.0,20.0,310.0,1
10.839,182.0,21.0,161.0,1
10.859,528.0,20.0,508.0,1
10.879,298.0,21.0,277.0,1
10.899,385.0,21.0,364.0,1
10.919,345.0,20.0,325.0,1
10.939,344.0,20.0,324.0,1
10.96,281.0,20.0,261.0,1
10.98,295.0,20.0,275.0,1
11.0,304.0,21.0,283.0,1
11.02,297.0,20.0,277.0,1
11.04,250.0,21.0,229.0,1
11.06,346.0,32.0,314.0,1
11.08,395.0,33.0,362.0,1
11.1,306.0,20.0,286.0,1
11.12,704.0,21.0,683.0,1
11.14,363.0,22.0,341.0,1
11.16,281.0,21.0,260.0,1
11.18,345.0,21.0,324.0,1
11.201,200.0,20.0,180.0,1
11.221,626.0,21.0,605.0,1
11.241,299.0,20.0,279.0,1
11.261,721.0,21.0,700.0,1
11.281,365.0,33.0,332.0,1
11.301,364.0,31.0,333.0,1
11.321,300.0,34.0,266.0,1
11.341,150.0,23.0,127.0,1
11.361,298.0,21.0,277.0,1
11.381,443.0,21.0,422.0,1
11.401,428.0,20.0,408.0,1
11.422,347.0,21.0,326.0,1
11.442,297.0,20.0,277.0,1
11.462,298.0,21.0,277.0,1
11.482,429.0,21.0,408.0,1
11.502,332.0,21.0,311.0,1
11.522,347.0,21.0,326.0,1
11.542,346.0,21.0,325.0,1
11.562,187.0,20.0,167.0,1
11.582,494.0,23.0,471.0,1
11.603,299.0,20.0,279.0,1
11.623,741.0,20.0,721.0,1
11.643,363.0,21.0,342.0,1
11.663,218.0,21.0,197.0,1
